实习生（数据分析方向）,福州咸鱼科技有限公司,福州,2-3千/月,12-04
Web开发工程师（可视化方向）,福建三元达控股有限公司,福州-鼓楼区,0.9-1.4万/月,12-04
高级数据分析师,福州咸鱼科技有限公司,福州,1-1.5万/月,12-04
数据分析专员（高薪 五险一金 双休）,福州咸鱼科技有限公司,福州,6-8千/月,12-04
数据运营专员,福州咸鱼科技有限公司,福州,6-8千/月,12-04
统计专员/数据分析专员,福州咸鱼科技有限公司,福州,6-8千/月,12-04
园区财务主管,福建隆恒实业集团,福州,3.5-7千/月,12-04
运维工程师,福州云顶网络科技有限公司,福州-鼓楼区,1-1.5万/月,12-04
软件项目经理,彩讯科技股份有限公司,福州,1-1.3万/月,12-04
售前技术工程师-软件解决方案 （中高级）,杭州半云科技有限公司,福州,1-2万/月,12-04
视觉算法工程师,杭州半云科技有限公司,福州,0.8-1.6万/月,12-04
Java开发工程师,杭州半云科技有限公司,福州,0.7-1.2万/月,12-04
JAVA开发项目经理,杭州半云科技有限公司,福州,1.5-3万/月,12-04
解决方案工程师,福建省冠林科技有限公司,福州,5-8千/月,12-04
AI工程师,福建睿思特科技股份有限公司,福州-鼓楼区,3-4万/月,12-04
科创课程研发,北京希嘉万维科技有限公司,福州-仓山区,0.7-1.5万/月,12-04
数据库工程师（2020届校园招聘）-福州,中电福富信息科技有限公司,福州,0.5-1万/月,12-04
人工智能研发工程师（2020届校园招聘）-福州,中电福富信息科技有限公司,福州,0.5-1万/月,12-04
分布式组件运维工程师,中电福富信息科技有限公司,福州,6-8千/月,12-04
数据库开发工程师-福州,中电福富信息科技有限公司,福州,6-8千/月,12-04
项目经理,福建天创信息科技有限公司,福州-闽侯县,10-20万/年,12-04
广告优化师,福州云赢信息科技有限公司,福州-台江区,1-1.5万/月,12-04
PHP开发工程师,福州大千网络科技有限公司,福州,1.2-1.5万/月,12-04
初中级数据库开发工程师,福州星海湾软件有限公司,福州-晋安区,0.8-1万/月,12-04
Java架构师,福建票付通信息科技有限公司,福州-鼓楼区,2-3万/月,12-04
PHP高级后端开发工程师,福建票付通信息科技有限公司,福州-鼓楼区,0.8-1.6万/月,12-04
